"species","bleaching_probability"
"Pavona explanulata",0.456116704041441
"Pavona frondifera",0.374318767100448
"Pavona gigantea",0.392011312981654
"Pavona maldivensis",0.215701992856959
"Pavona minuta",0.442587166378099
"Pavona varians",0.328235537729418
"Pavona venosa",0.393353507210633
"Pavona xarifae",0.448014667387943
"Pectinia africana",0.20532886335938
"Pectinia alcicornis",0.303778689769242
"Pectinia crassa",0.31066979422988
"Pectinia elongata",0.323114377196504
"Pectinia lactuca",0.240998428189709
"Pectinia maxima",0.249988758775797
"Pectinia paeonia",0.261349984733424
"Pectinia pygmaea",0.321251557294563
"Pectinia teres",0.320361782269319
"Physogyra lichtensteini",0.26949878448897
"Physophyllia ayleni",0.269208281607391
"Platygyra acuta",0.288415561622447
"Platygyra carnosa",0.225704768324926
"Platygyra contorta",0.281969473216639
"Platygyra crosslandi",0.289768452102958
"Platygyra daedalea",0.32664998241247
"Platygyra lamellina",0.273758190752576
"Platygyra pini",0.292362120235276
"Platygyra ryukyuensis",0.273331720700175
"Platygyra sinensis",0.317788575355718
"Platygyra verweyi",0.28235239630051
"Platygyra yaeyamaensis",0.289184574935332
"Plerogyra cauliformis",0.268491046282569
"Plerogyra diabolotus",0.258348895872216
"Plerogyra discus",0.181583147092956
"Plerogyra multilobata",0.25690562656735
"Plerogyra simplex",0.329370869680952
"Plerogyra sinuosa",0.253349373896109
"Plesiastrea versipora",0.28144818432488
"Pleuractis granulosa",0.107448625114294
"Pleuractis gravis",0.135494951848113
"Pleuractis moluccensis",0.115326629219917
"Pleuractis paumotensis",0.119302808185333
"Pleuractis seychellensis",0.124956449632451
"Pleuractis taiwanensis",0.134026498405684
"Pocillopora ankeli",0.287142665177905
"Pocillopora brevicornis",0.273538698415185
"Pocillopora capitata",0.217228473368986
"Pocillopora damicornis",0.308160008113463
"Pocillopora effusa",0.295278151238812
"Pocillopora elegans",0.262892697866229
"Pocillopora fungiformis",0.293949304645463
"Pocillopora grandis",0.236963372958188
"Pocillopora indiania",0.271927132241699
"Pocillopora inflata",0.273118243921703
"Pocillopora kelleheri",0.273016367707641
"Pocillopora ligulata",0.214155730555216
"Pocillopora meandrina",0.238002615231185
"Pocillopora molokensis",0.258689209711514
"Pocillopora verrucosa",0.230158611612749
"Pocillopora woodjonesi",0.267433625864086
"Pocillopora zelli",0.274218056827615
"Podabacia crustacea",0.274720373744728
"Podabacia kunzmanni",0.265829562846208
"Podabacia lankaensis",0.26021147496633
"Podabacia motuporensis",0.252328735126604
"Podabacia sinai",0.272444144276657
"Polyphyllia novaehiberniae",0.125230683082562
"Polyphyllia talpina",0.125230683082562
"Porites annae",0.273458005560026
"Porites aranetai",0.230208646647813
"Porites arnaudi",0.270976521859963
"Porites astreoides",0.184114447552927
"Porites attenuata",0.318516091003048
"Porites australiensis",0.277673796391766
"Porites baueri",0.202671668769096
"Porites bernardi",0.317361859063862
"Porites branneri",0.249497328740714
"Porites brighami",0.150864726665086
"Porites cocosensis",0.242382661157899
"Porites colonensis",0.272915240682427
"Porites columnaris",0.242285347228953
"Porites compressa",0.252252624113104
"Porites cumulatus",0.251718467713105
"Porites cylindrica",0.37020310231908
"Porites decasepta",0.113554942798897
"Porites deformis",0.247037712168985
"Porites densa",0.166375891231768
"Porites desilveri",0.242845501631151
"Porites divaricata",0.255836953323943
"Porites duerdeni",0.30133078089465
"Porites echinulata",0.209303694995569
"Porites ericacea",0.240626907302348
"Porites evermanni",0.226394559523911
"Porites excavata",0.24151681875392
"Porites flavus",0.183654166170153
"Porites furcata",0.270936477825003
"Porites harrisoni",0.221083373909301
"Porites heronensis",0.260683152767198
"Porites horizontalata",0.247006473589597
"Porites latistellata",0.235807648598102
"Porites lichen",0.342935594870381
"Porites lobata",0.316190685711163
"Porites lutea",0.325434546187545
"Porites mayeri",0.308867844831071
"Porites monticulosa",0.204783490600082
"Porites murrayensis",0.169205023846333
"Porites myrmidonensis",0.290276315497885
"Porites napopora",0.221534898570222
"Porites negrosensis",0.306381779948407
"Porites nigrescens",0.29631075792867
"Porites nodifera",0.216154461657649
"Porites okinawensis",0.308224597623678
"Porites ornata",0.264957455676404
"Porites panamensis",0.225759737508116
"Porites porites",0.194588315497891
"Porites profundus",0.261497845102601
"Porites pukoensis",0.229553309762476
"Porites randalli",0.307668419041459
"Porites rugosus",0.228804270152293
"Porites rus",0.207425914369281
"Porites sillimaniani",0.248412229768596
"Porites solida",0.330283507751757
"Porites somaliensis",0.279686364533799
"Porites stephensoni",0.149886566456498
"Porites studeri",0.271193541362056
"Porites sverdrupi",0.196762693397374
"Porites tuberculosus",0.251309611264955
