"species","zooanthellae"
"Dendrophyllia radians","azooxanthellate"
"Dendrophyllia ramea","azooxanthellate"
"Dendrophyllia robusta","azooxanthellate"
"Dendrophyllia velata","azooxanthellate"
"Desmophyllum dianthus","azooxanthellate"
"Desmophyllum striatum","azooxanthellate"
"Dichocoenia stokesii","zooxanthellate"
"Dichopsammia granulosa","both"
"Diploastrea heliopora","zooxanthellate"
"Diploria labyrinthiformis","zooxanthellate"
"Dipsastraea albida","zooxanthellate"
"Dipsastraea amicorum","zooxanthellate"
"Dipsastraea camranensis","zooxanthellate"
"Dipsastraea danai","zooxanthellate"
"Dipsastraea faviaformis","zooxanthellate"
"Dipsastraea favus","zooxanthellate"
"Dipsastraea helianthoides","zooxanthellate"
"Dipsastraea lacuna","zooxanthellate"
"Dipsastraea laddi","zooxanthellate"
"Dipsastraea laxa","zooxanthellate"
"Dipsastraea lizardensis","zooxanthellate"
"Dipsastraea maritima","zooxanthellate"
"Dipsastraea marshae","zooxanthellate"
"Dipsastraea matthaii","zooxanthellate"
"Dipsastraea maxima","zooxanthellate"
"Dipsastraea pallida","zooxanthellate"
"Dipsastraea rosaria","zooxanthellate"
"Dipsastraea rotumana","zooxanthellate"
"Dipsastraea speciosa","zooxanthellate"
"Dipsastraea truncata","zooxanthellate"
"Dipsastraea veroni","zooxanthellate"
"Dipsastraea vietnamensis","zooxanthellate"
"Dipsastraea wisseli","zooxanthellate"
"Duncanopsammia axifuga","zooxanthellate"
"Dunocyathus parasiticus","azooxanthellate"
"Echinomorpha nishihirai","zooxanthellate"
"Echinophyllia aspera","zooxanthellate"
"Echinophyllia costata","zooxanthellate"
"Echinophyllia echinata","zooxanthellate"
"Echinophyllia echinoporoides","zooxanthellate"
"Echinophyllia orpheensis","zooxanthellate"
"Echinophyllia patula","zooxanthellate"
"Echinophyllia pectinata","zooxanthellate"
"Echinophyllia tarae","zooxanthellate"
"Echinopora ashmorensis","zooxanthellate"
"Echinopora forskaliana","zooxanthellate"
"Echinopora fruticulosa","zooxanthellate"
"Echinopora gemmacea","zooxanthellate"
"Echinopora grandicula","zooxanthellate"
"Echinopora hirsutissima","zooxanthellate"
"Echinopora horrida","zooxanthellate"
"Echinopora irregularis","zooxanthellate"
"Echinopora lamellosa","zooxanthellate"
"Echinopora mammiformis","zooxanthellate"
"Echinopora pacificus","zooxanthellate"
"Echinopora robusta","zooxanthellate"
"Echinopora taylorae","zooxanthellate"
"Echinopora tiranensis","zooxanthellate"
"Eguchipsammia cornucopia","azooxanthellate"
"Eguchipsammia fistula","azooxanthellate"
"Eguchipsammia gaditana","azooxanthellate"
"Eguchipsammia japonica","azooxanthellate"
"Eguchipsammia serpentina","azooxanthellate"
"Eguchipsammia wellsi","azooxanthellate"
"Enallopsammia profunda","azooxanthellate"
"Enallopsammia pusilla","azooxanthellate"
"Enallopsammia rostrata","azooxanthellate"
"Endocyathopora laticostata","azooxanthellate"
"Endopachys grayi","azooxanthellate"
"Endopsammia philippensis","azooxanthellate"
"Endopsammia pourtalesi","azooxanthellate"
"Endopsammia regularis","azooxanthellate"
"Enigmopora darveliensis","zooxanthellate"
"Ericiocyathus echinatus","azooxanthellate"
"Erythrastrea flabellata","zooxanthellate"
"Euphyllia ancora","zooxanthellate"
"Euphyllia cristata","zooxanthellate"
"Euphyllia divisa","zooxanthellate"
"Euphyllia fimbriata","zooxanthellate"
"Euphyllia glabrescens","zooxanthellate"
"Euphyllia paraancora","zooxanthellate"
"Euphyllia paradivisa","zooxanthellate"
"Euphyllia paraglabrescens","zooxanthellate"
"Euphyllia yaeyamaensis","zooxanthellate"
