"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae"
"Acropora japonica",NA,NA,NA,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora khayranensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora kimbeensis",NA,NA,NA,NA,"colonial",NA,0.00196349540849362,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora kirstyae",NA,NA,NA,NA,"colonial",NA,0.00196349540849362,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora kosurini",NA,NA,NA,NA,"colonial",NA,0.0038484510006475,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora lamarcki",NA,NA,NA,NA,"colonial",200,NA,NA,NA,NA,"tables_or_plates","tables_or_plates",32.4,NA,"spawner",NA,NA,1.41,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora latistella",NA,NA,25.27,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora lianae",NA,NA,NA,NA,"colonial",50,NA,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora listeri",NA,NA,18.46,NA,"colonial",50,0.00502654824574367,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora loisetteae",NA,NA,NA,NA,"colonial",NA,0.01539380400259,NA,NA,NA,"branching_open","branching",NA,NA,NA,5.44,NA,NA,NA,NA,NA,"zooxanthellate"
